preview,title,writer
"코로나19 장기화로 공기청정기, 정수기 등 위생가전의 인기가 높아진 가운데 일시불 구매보다 부담이 덜한 렌털가전 시장이 커지고  …",부담 적은 렌털가전이 인기,전자신문
[일간스포츠 정길준] KT는 19일 광화문 인근 식당에서 만든 밀키트(간편조리식)를 KT 광화문 사옥에서 판매한다고 밝혔다. 회 …,"KT, 광화문 소상공인 돕는 '사랑의 밀키트' 프로젝트 실시",일간스포츠
(지디넷코리아=김한준 기자)HTML5 게임 전문업체 모비소프트(대표 송원영)는 19일 삼성 게임런처에 신규 탑재된 인스턴트 플레 …,"모비소프트, 삼성 게임런처에 인스턴트 게임 10종 출시",ZDNet Korea
지난 연말 시즌부터 이어져 온 겨울 시즌 업데이트 경쟁의 윤곽이 서서히 드러나고 있다.매년 모바일게임 시장은 겨울 시즌마다 경쟁 …,모바일 시장의 겨울 업데이트 승자 윤곽 드러나나?,동아일보
(지디넷코리아=김한준 기자)인디크래프트 운영사무국은 19일 2020 인디크래프트 온라인 가상 게임쇼 전시작으로 출품된 원앤원의  …,"인디크래프트, '카페헤븐 고양이의샌드위치' 정식 출시",ZDNet Korea
"온라인동영상서비스(OTT) 사업자는 'OTT 정책 컨트롤타워' 부재로 인한 중복규제를 우려하고 있다. 과학기술정보통신부, 방송통 …","[이슈분석]OTT “정책·창구 일원화""",전자신문
범정부 온라인동영상서비스(OTT) 컨트롤타워 'OTT 정책협의회'가 표류하고 있다. 관계부처 간 경쟁적 입법은 물론 갈등 상황에 …,범정부 OTT 컨트롤타워 '표류',전자신문
KT가 인공지능(AI) 고객센터 B2B 사업을 본격화한다. AICC(AI Contact Center) 플랫폼을 클라우드 방식으로 …,"KT, 인공지능(AI) 고객센터 사업 B2B 확장",전자신문
과학기술정보통신부·방송통신위원회·문화체육관광부가 경쟁적으로 온라인동영상서비스(OTT) 지원 방안을 수립하고 있다. 이는 미디어· …,"[이슈분석]3개 부처, 경쟁적 OTT 지원",전자신문
온라인동영상서비스(OTT) 사업자와 한국음악저작권협회(음저협) 간 음악저작권료 갈등은 현재진행형이다. 근본 원인은 OTT 사업자 …,[이슈분석]음악저작권 갈등에 부각된 컨트롤타워 부재,전자신문
